CR2032,1,"BT1",BC2032-F1-ND,Memory Protection Devices,BC2032-F1
0.1uF,3,"C2 C4 C5",311-1141-1-ND,Yageo,CC0805KRX7R8BB104
1uF,1,"C1",478-3050-1-ND,AVX Corporation,TAJR105M016RNJ
10uF,1,"C3",490-1746-1-ND,Murata Electronics,GRM21BF50J106ZE01L
uSD,1,"CARD1",101-00303-68-1-ND,Amphenol Commercial Products,101-00303-68
LED,2,"D1 D2",754-1141-1-ND,Kingbright Company,APT3216SGC
CONN_3,1,"K1"
CONN_5,1,"P1"
330,2,"R3 R4",P330CCT-ND,Panasonic Electronic Components,ERJ-6ENF3300V
4.7K,2,"R1 R2",P4.70KCCT-ND,Panasonic Electronic Components,ERJ-6ENF4701V
10k,4,"R5 R6 R7 R8",P10.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1002V
ADXL345,1,"S1",ADXL345BCCZ-RLCT-ND,Analog Devices,ADXL345BCCZ-RL
SWITCH_SPDT,1,"SW1",450-1635-ND,TE Connectivity,SSJ12R04
~,1,"SW2",CKN6060-ND,C&K Components,SDA03H0SBD
PIC18F27J13,1,"U1",PIC18F27J13-I/SO-ND,Microchip Technology,PIC18F27J13-I/SO
